unit,tra_meas,destination,date,passengers
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2018-01-01,10900
Passenger,Passengers on board (arrivals),ZURICH,2018-01-01,14777
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2018-01-01,22038
Passenger,Passengers on board (arrivals),MUENCHEN,2018-01-01,24003
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2018-01-01,11966
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2018-01-01,14800
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2018-01-01,11990
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2018-01-01,16566
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2018-01-01,21020
Passenger,Passengers on board (arrivals),PORTO,2018-01-01,37018
Passenger,Passengers on board (arrivals),LISBOA,2018-01-01,32198
Passenger,Passengers on board (arrivals),LONDON/CITY,2018-01-01,18869
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2018-01-01,18492
Passenger,Passengers on board (arrivals),LONDON STANSTED,2018-01-01,13571
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2017-10-01,13151
Passenger,Passengers on board (arrivals),GENEVA,2017-10-01,7164
Passenger,Passengers on board (arrivals),ZURICH,2017-10-01,16417
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2017-10-01,25020
Passenger,Passengers on board (arrivals),MUENCHEN,2017-10-01,27345
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2017-10-01,8501
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2017-10-01,7669
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2017-10-01,11023
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2017-10-01,14828
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2017-10-01,5148
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2017-10-01,7358
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2017-10-01,6073
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2017-10-01,13747
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2017-10-01,19154
Passenger,Passengers on board (arrivals),BERGAMO/ORIO AL SERIO,2017-10-01,7212
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2017-10-01,6728
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2017-10-01,22826
Passenger,Passengers on board (arrivals),WARSZAWA/CHOPINA,2017-10-01,5941
Passenger,Passengers on board (arrivals),PORTO,2017-10-01,37536
Passenger,Passengers on board (arrivals),LISBOA,2017-10-01,32936
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2017-10-01,8495
Passenger,Passengers on board (arrivals),LONDON GATWICK,2017-10-01,8915
Passenger,Passengers on board (arrivals),LONDON/CITY,2017-10-01,22100
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2017-10-01,20663
Passenger,Passengers on board (arrivals),LONDON STANSTED,2017-10-01,13806
